Nombre de la tarea,Bloqueado por,Bloqueando,Estado,Etiquetas,Fecha límite,Prioridad,Proyecto,Responsable,Subtareas,Tarea principal
Módulo 4.5,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 4 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%204%20238b6a23a67046d0a1dd0d38b4c055f6.html)
Módulo 5.4,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 5 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%205%200d19cc3052e34270ada613cfc0cd40e2.html)
Módulo 3.1,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 3 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%203%20b5cf35f0e9924a94907ff5090868ed37.html)
Módulo 6.6,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 6 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%206%206d2c7e4432674c66902d35b314369275.html)
Módulo 4.1,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 4 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%204%20238b6a23a67046d0a1dd0d38b4c055f6.html)
Redactar Módulo 7,,,Completado,Procesos,3 de octubre de 2024,Media,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),Andrea Carolina Ruiz,"Módulo 7.1 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%201%20e0b97972be5043ac983060848f09abfd.html), Módulo 7.2 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%202%207349b464cc7947ec936f17fc6beb2df5.html), Módulo 7.3 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%203%20a979a3d20c784aed90f50a12e339fa5f.html), Módulo 7.4 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%204%20e30ac2b7444f4eed98fee5e66981131e.html), Módulo 7.5 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%205%209989127856cd42f89f4009c6756658df.html), Módulo 7.6 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%206%207f3ab4f0c6044d959e462fda635b4b67.html), Módulo 7.7 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/M%C3%B3dulo%207%207%20eabc9b5c7025472191857298d7b15869.html)",
Módulo 6.1,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 6 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%206%206d2c7e4432674c66902d35b314369275.html)
Módulo 7.6,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 7 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%207%20499c552bbfdd4078b8c668c13aa39559.html)
Módulo 3.2,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 3 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%203%20b5cf35f0e9924a94907ff5090868ed37.html)
Módulo 3.4,,,Completado,,,,Realización Contenido Flujo de Capacitación Integraciones (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Integr%20f97f4939a7124d82bdf545e7a813fec0.html),,,Redactar Módulo 3 (Proyectos%20Andrea%20Ru%C3%ADz%20Nicol%C3%A1s%20Alvarez/Tareas/Redactar%20M%C3%B3dulo%203%20b5cf35f0e9924a94907ff5090868ed37.html)
