Nombre,Estado,Fecha,ID Local,Persona que lo reporta,Subítem,Toteat Tipo,ítem principal
Semana 51 (16 al 22 de Dic),,,,,"Pimentón (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Piment%C3%B3n%2015e390731e2380da80eefe879dcacd0a.html), Palacio Danubio Azul (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Palacio%20Danubio%20Azul%2015e390731e2380418f32c4424b71227f.html), Nolia (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Nolia%2015f390731e23807bb21cc766be231a01.html), Bendita Burger (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Bendita%20Burger%2015f390731e2380d39748f6140a70937c.html), Gorila (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Gorila%2015f390731e238055b6d5dd3bf78e45b1.html), Integración api Oddo (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Integraci%C3%B3n%20api%20Oddo%20162390731e2380e09d40c47034e9baca.html)",,
Semana 52 (23 al 29 de Dic),,,,,"Reunión Desarrollo 26 de Dic (Gorilas, Bendita burger, Di Varas) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Reuni%C3%B3n%20Desarrollo%2026%20de%20Dic%20(Gorilas,%20Bendita%20bur%20168390731e2380c599bcc2891d6f93e9.html)",,
Pimentón,Pendiente,16 de diciembre de 2024,,Francisco Ramirez,"Capacitación (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Capacitaci%C3%B3n%2015e390731e238046a6ffc047a911269a.html), Reunión 2 (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Reuni%C3%B3n%202%2015e390731e2380beb0e6ce0f30c9f1ec.html)",,Semana 51 (16 al 22 de Dic) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%2051%20(16%20al%2022%20de%20Dic)%2015e390731e23802294abfc6367d88525.html)
Capacitación,Sin Solución,16 de diciembre de 2024,,,,,Pimentón (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Piment%C3%B3n%2015e390731e2380da80eefe879dcacd0a.html)
Reunión 2,,,,,,,Pimentón (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Piment%C3%B3n%2015e390731e2380da80eefe879dcacd0a.html)
Palacio Danubio Azul,Solucionado,16 de diciembre de 2024,"5870924129763328-1
5870924129763328-2",José Tomás Guerra Guzmán,"Reunión Con Justo (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Reuni%C3%B3n%20Con%20Justo%2015f390731e238057bd6ad6520073a648.html), Reunion con Jose Tomas (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Reunion%20con%20Jose%20Tomas%2015f390731e2380948d7ad0545ce9c201.html), Arreglo de precios x lista  (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Arreglo%20de%20precios%20x%20lista%20160390731e238063a081e299315f7188.html), revisión de Orden de jerarquías en Justo (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/revisi%C3%B3n%20de%20Orden%20de%20jerarqu%C3%ADas%20en%20Justo%20161390731e23807eb548f0bab993ee97.html)",,Semana 51 (16 al 22 de Dic) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%2051%20(16%20al%2022%20de%20Dic)%2015e390731e23802294abfc6367d88525.html)
Semana 1 (2 al 5 de Enero 2025),,,,,"Peya V2 Migrar Padres e hijas (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Peya%20V2%20Migrar%20Padres%20e%20hijas%2016f390731e2380cf95b9dda68195c582.html), Caso de Gorilas  (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Caso%20de%20Gorilas%2016f390731e238035b6cdf121d292fcad.html), Posible reunión con Rappi (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Posible%20reuni%C3%B3n%20con%20Rappi%20170390731e238060a02ec88a2adeece2.html), Procedimiento  en amb migrados de Toteat y activación de integraciones (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Procedimiento%20en%20amb%20migrados%20de%20Toteat%20y%20activaci%20170390731e23804bb5f5cc6c226b6104.html), Sakura Cafe (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Sakura%20Cafe%20170390731e2380a1a5e1ff46b02f7ff1.html)",,
Semana 2 (6 al 12 de Enero),,,,,,,
Nolia,Pendiente,17 de diciembre de 2024,5409402727563264-1 Nolia Brunch,Fernanda Herreros,"Activación de las integraciones (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Activaci%C3%B3n%20de%20las%20integraciones%2015f390731e2380ceb228d2250156250a.html), Validación con Rappi (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Validaci%C3%B3n%20con%20Rappi%2015f390731e2380aa97ede011d2a37a82.html)",,Semana 51 (16 al 22 de Dic) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%2051%20(16%20al%2022%20de%20Dic)%2015e390731e23802294abfc6367d88525.html)
Reunión Con Justo,Solucionado,16 de diciembre de 2024,,,,,Palacio Danubio Azul (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Palacio%20Danubio%20Azul%2015e390731e2380418f32c4424b71227f.html)
