Nombre de la tarea,Bloqueado por,Bloqueando,Estado,Etiquetas,Fecha límite,Prioridad,Proyecto,Responsable,Subtareas,Tarea principal
Módulo 3.4,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 3 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%203%209b81f27cba154e7e9778a5028a68cf89.html)
Redactar Módulo 3,,,Sin empezar,Procesos,1 de agosto de 2024,Media,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,"Módulo 3.1 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%201%202b16920bbe6e4600af731ae76a74c369.html), Módulo 3.2 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%202%2097815b5e74e243cca58f588f8e4a6654.html), Módulo 3.3 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%203%20756fe8f66d124e9d8344f73f598f3e54.html), Módulo 3.4 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%204%2079afc3975b5c417fbf79501a57b0069f.html), Módulo 3.5 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%205%20665f5b64128a4e4baa70d556fd430bba.html), Módulo 3.6 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%206%20bcb67144be9a4958a96da48ab874a677.html), Módulo 3.7 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%207%2056c0f5b0a9eb471c9b282cd20e44fd81.html), Módulo 3.8 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%203%208%2071546ca8652d44599e8b066277485ca2.html)",
Módulo 4.1,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 4 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%204%20a4853f4801874298af483a9bb0dc2860.html)
Módulo 2.2,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 2 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%202%20935f0aa213834a3494de75d886cb5929.html)
Módulo 3.1,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 3 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%203%209b81f27cba154e7e9778a5028a68cf89.html)
Módulo 3.3,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 3 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%203%209b81f27cba154e7e9778a5028a68cf89.html)
Módulo 2.1,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 2 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%202%20935f0aa213834a3494de75d886cb5929.html)
Módulo 3.2,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 3 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%203%209b81f27cba154e7e9778a5028a68cf89.html)
Módulo 3.6,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 3 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%203%209b81f27cba154e7e9778a5028a68cf89.html)
Módulo 1.3,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 1 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%201%20a58695f36e1845debdba1c83f9d3b91d.html)
Módulo 3.7,,,Sin empezar,,,,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,,Redactar Módulo 3 (Proyectos%20Jeremy%20Araujo/Tareas/Redactar%20M%C3%B3dulo%203%209b81f27cba154e7e9778a5028a68cf89.html)
Redactar Módulo 2,,,Sin empezar,Procesos,18 de julio de 2024,Media,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,"Módulo 2.1 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%201%208542eeb59d654f77959c3fe865f23eaf.html), Módulo 2.2 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%202%200d21c700d228476e85653309dee705b5.html), Módulo 2.3 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%203%203b0998fc4a99445488c4c8a719972998.html), Módulo 2.4 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%204%20214f905012a34fa7a192a2c54060e064.html), Módulo 2.5 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%205%20699b2ae978254bb29597e9ce18af3e3f.html), Módulo 2.6 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%206%20e18e0aaa65494ee5a83c915c8c28ff45.html), Módulo 2.7 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%202%207%20c1678030e9c64dd9986d6f3c5237cf8e.html)",
Redactar Módulo 4,,,Sin empezar,Procesos,15 de agosto de 2024,Media,Realización Contenido Flujo de Capacitación Implementación (Proyectos%20Jeremy%20Araujo/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20Implem%20a4d57b62efaf4074b8544c8ad65594bb.html),,"Módulo 4.1 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%204%201%20db962d2c25ed4cc7a2b690770ac1787f.html), Módulo 4.2 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%204%202%2078404337c9d648669cab06e712da96c9.html), Módulo 4.3 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%204%203%20d62e7da02ba84f2280becccc679831e1.html), Módulo 4.4 (Proyectos%20Jeremy%20Araujo/Tareas/M%C3%B3dulo%204%204%202639d7d3c71b43d49d66f3cdd848ff97.html)",
