Nombre de la tarea,Bloqueado por,Bloqueando,Estado,Etiquetas,Fecha límite,ID,Prioridad,Proyecto,Responsable,Subtareas,Tarea principal
Crear posicionamiento del producto,,,Sin empezar,Marca,9 de mayo de 2023,8,Alta,,Sohrab Amin,,
Redactar Módulo 2,,,Completado,Procesos,18 de julio de 2024,9,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 2.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%201%20333abe25e37e4a30a20ff298e9ea5495.html), Módulo 2.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%202%202567c3f4ee794946bbcd70c929a47d0f.html), Módulo 2.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%203%208124a83b216c4ca2abe9415b9f04d917.html), Módulo 2.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%204%209ed6ecf4503e42d3be943afad72e8c25.html), Módulo 2.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%205%209837c1866faa437d98cf5db6687bfb1f.html), Módulo 2.6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%206%209329806150114067933ae746ebf1cad5.html), Módulo 2.7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%202%207%20a64d98eb38754a60b3a2d8b944ba50ab.html)",
Redactar Módulo 1,,,Completado,Procesos,5 de julio de 2024,10,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 1.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%201%201%20d532cc9cc76746fca81db1d5ed5174a6.html), Módulo 1.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%201%202%20afa4ead6e976411bba3aeebe64994c94.html), Módulo 1.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%201%203%205d5263738f1e46319742f9d85822c214.html), Módulo 1.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%201%204%2073640f7b286f454ba582c3d4121b72c5.html), Módulo 1.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%201%205%20b81647a376964b339cc14dcdcac0f77e.html)",
Supervisar el rendimiento del lanzamiento,,,Sin empezar,Métricas,22 de mayo de 2023,11,Alta,,Ben Lang,,
Elaborar estudio Facturante Argentina,,,Completado,Investigación,15 de julio de 2024,12,Media,Estudio de investigación (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Estudio%20de%20investigaci%C3%B3n%20d041dc52fdc64da2ad92c1837434de39.html),Lorena Moreno,,
Crear un video de demostración del producto,,,Sin empezar,Producción de video,12 de mayo de 2023,13,Alta,,Nate Martins,,
Seguimiento Sprint 41,,,Completado,Seguimiento,18 de julio de 2024,14,Baja,Seguimiento RFP (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Seguimiento%20RFP%20e1ccb88ed2084a78accfabff7f8cc0a7.html),Lorena Moreno,,
Módulo 1.1,,,Completado,,,16,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%201%207f0d07c7d49742fc9afe67fb5599c920.html)
Módulo 1.2,,,Completado,,,17,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%201%207f0d07c7d49742fc9afe67fb5599c920.html)
Módulo 1.3,,,Completado,,,18,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%201%207f0d07c7d49742fc9afe67fb5599c920.html)
