Nombre,Archivos multimedia,Comentarios,Estado,Fecha,ID Local,KAM,Subítem,URL,ítem principal
,,,,,,,,,
Semana 5 (27/01 - 31/01),,,,,,,"Gastronautas MUT (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Gastronautas%20MUT%2018b390731e238083b7c8f2c779edb491.html), Bicono Zona G (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Bicono%20Zona%20G%206c1f45aac07142f5a70519ecd8236b05.html), Don Jediondo Arboleda (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Don%20Jediondo%20Arboleda%2041f1c07143d2446494669bd3bdfce90e.html), Restaurante Giratorio (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Restaurante%20Giratorio%209d6fe9ea55a2472391e43afe41802119.html), Mochi Mochi (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Mochi%20Mochi%2023cf7f4f0c8a45f3845c4e66f0a41c26.html)",,
Gastronautas MUT,,,Solucionado,27 de enero de 2025,4832283874426880-00001,Neyla Morales,,,Semana 5 (27/01 - 31/01) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%205%20(27%2001%20-%2031%2001)%2018b390731e2380d9973afdbd96edb224.html)
Bicono Zona G,,,Solucionado,28 de enero de 2025,5704744349859840-00001,Nataly Andrea Cardona Enciso,,,Semana 5 (27/01 - 31/01) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%205%20(27%2001%20-%2031%2001)%2018b390731e2380d9973afdbd96edb224.html)
Don Jediondo Arboleda,,,Solucionado,29 de enero de 2025,6159353139298304-00017,Nataly Andrea Cardona Enciso,,,Semana 5 (27/01 - 31/01) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%205%20(27%2001%20-%2031%2001)%2018b390731e2380d9973afdbd96edb224.html)
Restaurante Giratorio,,,Solucionado,30 de enero de 2025,5827479096393728-00001,"José Matías ",,,Semana 5 (27/01 - 31/01) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%205%20(27%2001%20-%2031%2001)%2018b390731e2380d9973afdbd96edb224.html)
Semana 6 (03/02 - 07/02),,,,,,,"Gastronautas MUT (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Gastronautas%20MUT%2096a371c5f16142cbb363d9ad5b52196e.html), Mochi Mochi (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Mochi%20Mochi%208ee157f9314d41649928c16bdfce8bd1.html)",,
Gastronautas MUT,,,Solucionado,3 de febrero de 2025,4832283874426880-00001,Neyla Morales,,,Semana 6 (03/02 - 07/02) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%206%20(03%2002%20-%2007%2002)%206da6a55575e640ed831605dd5f13f888.html)
Mochi Mochi,,,Solucionado,7 de febrero de 2025,5238860998639616-00006,Nataly Andrea Cardona Enciso,,,Semana 6 (03/02 - 07/02) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%206%20(03%2002%20-%2007%2002)%206da6a55575e640ed831605dd5f13f888.html)
Mochi Mochi,,,Solucionado,29 de enero de 2025,5238860998639616-00006,Nataly Andrea Cardona Enciso,,,Semana 5 (27/01 - 31/01) (Clientes%20en%20revisi%C3%B3n%202025/Clientes%20Cr%C3%ADticos%20Semanal%202025/Semana%205%20(27%2001%20-%2031%2001)%2018b390731e2380d9973afdbd96edb224.html)
