Nombre,Dificultad,Nivel Crítico,Responsable,SLA Solución,Subítem,ítem principal
SAC Toteat,,,,,"Impresoras Nivel 2 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Impresoras%20Nivel%202%2018b390731e2380628b46fe6254a15bc7.html), TPS Nivel 2 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/TPS%20Nivel%202%2018b390731e2380f9a98fe1065cdfc147.html), Reportería Nivel 2 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Reporter%C3%ADa%20Nivel%202%2018b390731e23806a9346e7179a4f31d7.html), Reinstalación Sistema (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Reinstalaci%C3%B3n%20Sistema%2018b390731e238009af67dcc40a6effec.html), Operación diaria Nivel 2 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Operaci%C3%B3n%20diaria%20Nivel%202%2018b390731e23805bb2d6c484714b0db5.html), Dudas de uso general (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Dudas%20de%20uso%20general%2018b390731e23804c88a4d06ce10753c1.html), Configuración avanzada TRM (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Configuraci%C3%B3n%20avanzada%20TRM%2018b390731e2380d69f3ee2a35d9c8b12.html)",
Sodexo,,,,,"Impresoras Nivel 1 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Impresoras%20Nivel%201%2018b390731e2380c999c0ff3b41d14b87.html), TPS Nivel 1 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/TPS%20Nivel%201%2018b390731e2380f9aa1fe5245ef75f58.html), Operación diaria (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Operaci%C3%B3n%20diaria%2018b390731e2380b4be99e86215a70703.html), Integrador Pago  (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Integrador%20Pago%2018b390731e238061be5fcb1d95ff988d.html), Reportería Nivel 1 (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Reporter%C3%ADa%20Nivel%201%2018b390731e2380ecaab7ca8d55eeb868.html), Carga y actualización Maestro de productos (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Carga%20y%20actualizaci%C3%B3n%20Maestro%20de%20productos%2018b390731e23809891f4e9a81217f33e.html), Configuraciones Generales (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Configuraciones%20Generales%2018b390731e2380e5ba5bd8702796c287.html), Facturación DTE (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Facturaci%C3%B3n%20DTE%2018b390731e2380f4b1ded2cb59f88e72.html)",
Impresoras Nivel 1,Media,Posible Crítico,,,,Sodexo (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Sodexo%2018b390731e23808297baeb3db70e7068.html)
TPS Nivel 1,Baja,Posible Crítico,,,,Sodexo (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Sodexo%2018b390731e23808297baeb3db70e7068.html)
Operación diaria,Baja,Crítico,,,,Sodexo (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Sodexo%2018b390731e23808297baeb3db70e7068.html)
"Integrador Pago ",Media,Crítico,,,,Sodexo (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Sodexo%2018b390731e23808297baeb3db70e7068.html)
Reportería Nivel 1,Baja,No crítico,,,,Sodexo (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Sodexo%2018b390731e23808297baeb3db70e7068.html)
KAM Toteat,,,,,"Solicitudes Comerciales (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Solicitudes%20Comerciales%2018b390731e2380bcae5fee539269e19e.html), Solicitudes Desarrollo (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Solicitudes%20Desarrollo%2018b390731e23803f83bbd885e1673747.html), Solicitudes Nuevos ambientes (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Solicitudes%20Nuevos%20ambientes%2018b390731e2380488c40e9c230f6560b.html), Solicitudes Servicios adicionales (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/Solicitudes%20Servicios%20adicionales%2018b390731e23807184bff8b85124a62b.html)",
Solicitudes Comerciales,,,Customer Success KAM,-,,KAM Toteat (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/KAM%20Toteat%2018b390731e238018939acba7b23f3d10.html)
Solicitudes Desarrollo,,,Customer Success KAM,-,,KAM Toteat (Soporte%20Sodexo%20SAC/Soporte%20SAC%20SODEXO/KAM%20Toteat%2018b390731e238018939acba7b23f3d10.html)
