🧱 Nombre del hito,Estado,Plazos,Proyecto
Prueba de conocimientos,Listo,5 de diciembre de 2025 → 12 de diciembre de 2025,Estructura de roles (Seguimiento%20proyectos%20SAC%202%200/Estructura%20de%20roles%202a7390731e2380278e96f2db33de4168.html)
Inclusión Reclamos y sugerencias,,,
Flujo de calificación CSAT,,,
Crear estructuras de feedback según ocasión,En curso,23 de diciembre de 2025,Procesos de entrega de Feedback (Seguimiento%20proyectos%20SAC%202%200/Procesos%20de%20entrega%20de%20Feedback%202c7390731e238097b1adf1552d26cfe5.html)
"Documentar rutas de obtención de KPIs: CX Score, TME, TMO, CSAT",En curso,23 de diciembre de 2025,Procesos de entrega de Feedback (Seguimiento%20proyectos%20SAC%202%200/Procesos%20de%20entrega%20de%20Feedback%202c7390731e238097b1adf1552d26cfe5.html)
Documentar proceso de auditar casos,Sin empezar,23 de diciembre de 2025,Procesos de entrega de Feedback (Seguimiento%20proyectos%20SAC%202%200/Procesos%20de%20entrega%20de%20Feedback%202c7390731e238097b1adf1552d26cfe5.html)
Aprendizajes del proyecto,Sin empezar,7 de enero de 2026 → 13 de enero de 2026,Procesos de entrega de Feedback (Seguimiento%20proyectos%20SAC%202%200/Procesos%20de%20entrega%20de%20Feedback%202c7390731e238097b1adf1552d26cfe5.html)
Definir procesos generales para entrega de feedback,En curso,19 de diciembre de 2025,Procesos de entrega de Feedback (Seguimiento%20proyectos%20SAC%202%200/Procesos%20de%20entrega%20de%20Feedback%202c7390731e238097b1adf1552d26cfe5.html)
Incorporar información en procesos de onboarding junto a People,Sin empezar,24 de diciembre de 2025 → 6 de enero de 2026,Procesos de entrega de Feedback (Seguimiento%20proyectos%20SAC%202%200/Procesos%20de%20entrega%20de%20Feedback%202c7390731e238097b1adf1552d26cfe5.html)
Definición de roles por rango de respuestas,Listo,12 de diciembre de 2025 → 19 de diciembre de 2025,Estructura de roles (Seguimiento%20proyectos%20SAC%202%200/Estructura%20de%20roles%202a7390731e2380278e96f2db33de4168.html)
Anuncio de resultados,Listo,19 de diciembre de 2025,Estructura de roles (Seguimiento%20proyectos%20SAC%202%200/Estructura%20de%20roles%202a7390731e2380278e96f2db33de4168.html)
Definición del rol Agente Senior en SAC,Listo,5 de enero de 2026 → 24 de abril de 2026,Estructura de roles (Seguimiento%20proyectos%20SAC%202%200/Estructura%20de%20roles%202a7390731e2380278e96f2db33de4168.html)
Definir temática de talleres y su orden de prioridad.,Listo,22 de enero de 2026 → 26 de enero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
Definir un formato general.,Listo,26 de enero de 2026 → 28 de enero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
Asignar responsables de cada taller,En curso,28 de enero de 2026 → 29 de enero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
Definir fechas límites.,Sin empezar,26 de enero de 2026 → 29 de enero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
Reunir material existente e identificar su ubicación,Sin empezar,29 de enero de 2026 → 4 de febrero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
Crear cada taller y actualizar materiales existentes.,Sin empezar,4 de febrero de 2026 → 13 de febrero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
"Ejecutar los talleres, con control de asistencia y solicitud de feedback al cierre.",Sin empezar,16 de febrero de 2026 → 27 de febrero de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
"Reunión de retroalimentación, aprendizajes y definición de estrategias continuas.",Sin empezar,5 de marzo de 2026,Talleres de reforzamiento (Seguimiento%20proyectos%20SAC%202%200/Talleres%20de%20reforzamiento%202f0390731e238060b103e13fbf3220ec.html)
Definir marco general del proyecto y elementos críticos de cada etapa.,En curso,6 de febrero de 2026,Reinvención Onboarding SAC Toteat (Seguimiento%20proyectos%20SAC%202%200/Reinvenci%C3%B3n%20Onboarding%20SAC%20Toteat%202fe390731e23800b987ac04a5d718e7e.html)
"Definir cronograma, modulos y responsables",En curso,11 de febrero de 2026,Reinvención Onboarding SAC Toteat (Seguimiento%20proyectos%20SAC%202%200/Reinvenci%C3%B3n%20Onboarding%20SAC%20Toteat%202fe390731e23800b987ac04a5d718e7e.html)
Definir el equipo de trabajo,Listo,4 de febrero de 2026,Reinvención Onboarding SAC Toteat (Seguimiento%20proyectos%20SAC%202%200/Reinvenci%C3%B3n%20Onboarding%20SAC%20Toteat%202fe390731e23800b987ac04a5d718e7e.html)
Reorganizar material y secciones en Notion SAC,En curso,18 de febrero de 2026,Reinvención Onboarding SAC Toteat (Seguimiento%20proyectos%20SAC%202%200/Reinvenci%C3%B3n%20Onboarding%20SAC%20Toteat%202fe390731e23800b987ac04a5d718e7e.html)
Actualización del material de apoyo,Sin empezar,25 de febrero de 2026,Reinvención Onboarding SAC Toteat (Seguimiento%20proyectos%20SAC%202%200/Reinvenci%C3%B3n%20Onboarding%20SAC%20Toteat%202fe390731e23800b987ac04a5d718e7e.html)
Presentación del proyecto,Sin empezar,27 de febrero de 2026,Reinvención Onboarding SAC Toteat (Seguimiento%20proyectos%20SAC%202%200/Reinvenci%C3%B3n%20Onboarding%20SAC%20Toteat%202fe390731e23800b987ac04a5d718e7e.html)
