Minuta de reunión,Creado,Estado,Fecha
Weekly Líderes SAC,26 de septiembre de 2025 6:24,Listo,29 septiembre
Weekly Líderes SAC,3 de octubre de 2025 6:29,Listo,6 octubre
Weekly Líderes SAC,7 de octubre de 2025 6:30,Listo,13 octubre
Weekly Líderes SAC,14 de octubre de 2025 6:20,Listo,20 octubre
Weekly Líderes SAC,21 de octubre de 2025 6:46,Listo,27 octubre
Weekly Líderes SAC,28 de octubre de 2025 6:51,Cancelada,3 noviembre
Weekly Líderes SAC,4 de noviembre de 2025 6:01,Listo,10 noviembre
Weekly Líderes SAC,11 de noviembre de 2025 6:01,Listo,17 noviembre
Weekly Líderes SAC,18 de noviembre de 2025 5:59,Listo,24 noviembre
Weekly Líderes SAC,25 de noviembre de 2025 6:00,Listo,1 diciembre
Weekly Líderes SAC,2 de diciembre de 2025 6:01,Cancelada,8 diciembre
Weekly Líderes SAC,9 de diciembre de 2025 6:01,Listo,15 diciembre
Weekly Líderes SAC,16 de diciembre de 2025 6:01,Listo,22 diciembre
Weekly Líderes SAC,23 de diciembre de 2025 6:00,Listo,29 diciembre
Weekly Líderes SAC,30 de diciembre de 2025 6:02,Listo,5 enero
Weekly Líderes SAC,6 de enero de 2026 6:01,Listo,12 enero
Weekly Líderes SAC,13 de enero de 2026 6:01,Listo,19 enero
Weekly Líderes SAC,20 de enero de 2026 6:01,Listo,26 enero
Weekly Líderes SAC,27 de enero de 2026 6:01,Listo,2 febrero
Weekly Líderes SAC,3 de febrero de 2026 6:02,Listo,9 febrero
Weekly Líderes SAC,10 de febrero de 2026 6:02,Listo,16 febrero
Weekly Líderes SAC,17 de febrero de 2026 6:01,Listo,23 febrero
Weekly Líderes SAC,24 de febrero de 2026 6:02,Listo,2 marzo
Weekly Líderes SAC,3 de marzo de 2026 6:01,Listo,9 marzo
Weekly Líderes SAC,10 de marzo de 2026 6:19,Listo,16 marzo
Weekly Líderes SAC,17 de marzo de 2026 6:15,Listo,23 marzo
Weekly Líderes SAC,24 de marzo de 2026 6:11,Listo,30 marzo
Weekly Líderes SAC,31 de marzo de 2026 6:18,Listo,6 abril
Weekly Líderes SAC,7 de abril de 2026 7:01,Listo,13 abril
Weekly Líderes SAC,14 de abril de 2026 7:00,Listo,20 abril
Weekly Líderes SAC,21 de abril de 2026 7:00,En curso,27 abril
Weekly Líderes SAC,28 de abril de 2026 7:00,Sin empezar,4 mayo
