Tema,Archivos y multimedia,Fecha,Selección
Reforzar la manera en la que le respondemos a los clientes,,30 de enero de 2025,
Reforzar el aviso cuando van a colacion / breaks de 15 min,,30 de enero de 2025,
Reforzar la toma de chats del soporte,,,
Reforzar el compañerismo ( si ves el compañero apanado apoyarle quitandole chats o al menos no deconectandote si ves que quedara solo),,,
Espacio para Pao nos apoye desde su lado de lider,,,
No enviar al correo de soporte a realizar activaciones de modulos y/o funcionalidades 1 verificar si esta migrada - 2 si uds no la pueden activar indicarle que deje los datos para que el KAM le contacte,,,
"Si van a mandar una guia por favor revisenla al menos, no pueden decir que algo no se hace pero mandar una guia que dice que si",,,
"No enviar a los clientes porque si al correo de cliente, de hecho en la medida de lo posible no enviarlos sino pedirle los datos para contacto (ejemplo una mesa perdida no lo ve CX)",,,
No dejen en una misma Regla de impresion Comandas y Precuentas,,,
,,,
,,,
,,,
,,,
,,,
